"Table with row headers in column A, and column headers in rows 5 through 544. Leading dots indicate subparts. ",,,,,,,,
"Table 1. Full-Time, Year-Round Workers and Median Earnings in 1999 by Sex and Detailed Occupation1: 20002",,,,,,,,
"Full-time, year-round civilian employed 16 years and older (estimates) and full-time, year-round civilian employed 16 years and older with earnings (medians)3",,,,,,,,
,,,,,,,,
,"Number of Full-Time, Year-Round Workers4",,,Percentage of women in occupational group,Median Earnings (dollars),,,Women's earnings as a percentage of men's earnings
Occupational Category,Total,Men,Women,,Total,Men,Women,
,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
..Fence erectors,"14,700","14,460",240,1.6,"24,199","24,342","18,636",(X)
..Hazardous materials removal workers,"12,060","10,860","1,200",9.9,"32,425","32,372","35,206",108.8
..Highway maintenance workers,"70,700","68,130",2570,3.6,"28,333","28,379","27,623",97.3
..Rail-track laying and maintenance equipment operators,"8,330","8,240",90,1.1,"38,403","38,366","40,833",(X)
..Septic tank servicers and sewer pipe cleaners,"5,740","5,600",140,2.4,"29,988","30,153","19,712",(X)
..Miscellaneous construction and related workers,"19,090","18,490",610,3.2,"29,279","29,458","24,154",82.0
"..Derrick, rotary drill, and service unit operators, oil, gas, and mining","6,850","6,730",120,1.7,"32,199","32,026","38,917",(X)
"..Earth drillers, except oil and gas","19,160","18,940",220,1.1,"32,378","32,431","26,364",(X)
"..Explosives workers, ordnance handling experts, and blasters","6,830","6,270",560,8.2,"34,164","34,551","30,526",(X)
..Mining machine operators,"34,210","33,370",840,2.5,"42,237","42,318","38,949",92.0
"..Roof bolters, mining","2,190","2,180",10,0.4,"43,413","43,591",-,(X)
"..Roustabouts, oil and gas",970,960,10,1.0,"27,431","27,222","31,786",(X)
..Helpers--extraction workers,"1,850","1,800",50,2.7,"27,471","27,315","31,250",(X)
..Other extraction workers,"12,670","12,220",450,3.5,"31,338","31,251","34,750",(X)
".Installation, maintenance, and repair occupations:","3,964,290","3,792,580","171,710",4.3,"35,061","35,157","31,844",90.6
"..First-line supervisors/managers of mechanics, installers, and repairers","329,430","304,390","25,050",7.6,"42,777","43,260","39,360",91.0
"..Computer, automated teller, and office machine repairers","194,020","169,160","24,860",12.8,"35,116","35,691","31,052",87.0
..Radio and telecommunications equipment installers and repairers,"185,460","161,450","24,010",12.9,"42,654","42,920","41,865",97.5
..Avionics technicians,"12,110","10,880","1,230",10.1,"41,054","41,543","35,090",84.5
"..Electric motor, power tool, and related repairers","28,050","26,900",1150,4.1,"32,924","33,084","30,565",92.4
"..Electrical and electronics installers and repairers, transportation equipment","3,030","2,870",160,5.2,"32,132","32,652","26,902",(X)
"..Electrical and electronics repairers, industrial and utility","11,470","10,780",690,6.0,"49,668","50,025","41,554",83.1
"..Electronic equipment installers and repairers, motor vehicles","21,140","20,210",930,4.4,"51,956","52,085","48,313",92.8
..Electronic home entertainment equipment installers and repairers,"30,280","29,060","1,230",4.0,"27,358","27,398","26,301",96.0
..Security and fire alarm systems installers,"34,660","33,700",960,2.8,"31,414","31,508","26,278",83.4
..Aircraft mechanics and service technicians,"151,140","144,600","6,540",4.3,"42,409","42,849","36,052",84.1
..Automotive body and related repairers,"131,780","129,740","2,040",1.5,"30,577","30,636","26,086",85.1
..Automotive glass installers and repairers,"11,130","10,830",300,2.7,"29,545","29,682","25,721",(X)
..Automotive service technicians and mechanics,"738,290","726,470","11,820",1.6,"29,392","29,464","25,579",86.8
