Year,OccupationalCategory,Men,Women,Percentage
2000,Aircraft mechanics and service technicians,42849,36052,84.1
2000,Automotive body and related repairers,30636,26086,85.1
2000,Automotive glass installers and repairers,29682,25721,0
2000,Automotive service technicians and mechanics,29464,25579,86.8
2000,Bus and truck mechanics and diesel engine specialists,33882,30063,88.7
2000,Heavy vehicle and mobile equipment service technicians and mechanics,36185,31250,86.4
2000,Small engine mechanics,25683,25120,97.8
2000,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,22788,24444,0
2000,Control and valve installers and repairers,37132,31731,85.5
2000,Heating air conditioning and refrigeration mechanics and installers,32453,27645,85.2
2000,Home appliance repairers,30506,23895,78.3
2000,Industrial and refractory machinery mechanics,37848,29131,77
2000,Maintenance and repair workers general,31718,28524,89.9
2000,Maintenance workers machinery,35754,27412,76.7
2000,Millwrights,46290,36513,78.9
2000,Electrical power-line installers and repairers,48110,31796,66.1
2000,Telecommunications line installers and repairers,39492,39999,101.3
2000,Precision instrument and equipment repairers,40300,28834,71.5
2000,Coin vending and amusement machine servicers and repairers,27762,21361,76.9
2000,Commercial divers,34950,26563,0
2000,Locksmiths and safe repairers,30841,26366,85.5
2000,Manufactured building and mobile home installers,24883,22077,0
2000,Riggers,35196,26786,0
2000,Signal and track switch repairers,46253,36875,0
2000,Helpers--installation maintenance and repair workers,21991,24662,112.1
2000,Other installation maintenance and repair workers,31183,25311,81.2
2000,Production transportation and material moving occupations:,31468,21311,67.7
2000,Production occupations:,32018,21322,66.6
2000,First-line supervisors/managers of production and operating workers,41368,29024,70.2
2000,Aircraft structure surfaces rigging and systems assemblers,39219,26478,67.5
2000,Electrical electronics and electromechanical assemblers,26651,21399,80.3
2000,Engine and other machine assemblers,37273,26448,71
2000,Structural metal fabricators and fitters,35149,30194,85.9
2000,Miscellaneous assemblers and fabricators,28659,21579,75.3
2000,Bakers,24283,18071,74.4
2000,Butchers and other meat poultry and fish processing workers,26617,17752,66.7
2000,Food and tobacco roasting baking and drying machine operators and tenders,27637,23245,84.1
2000,Food batchmakers,27311,19864,72.7
2000,Food cooking machine operators and tenders,24498,18468,75.4
2000,Computer control programmers and operators,35265,26314,74.6
2000,Extruding and drawing machine setters operators and tenders metal and plastic,31642,25227,79.7
2000,Forging machine setters operators and tenders metal and plastic,32481,24072,74.1
2000,Rolling machine setters operators and tenders metal and plastic,32232,22018,68.3
2000,Cutting punching and press machine setters operators and tenders metal and plastic,28222,21489,76.1
2000,Drilling and boring machine tool setters operators and tenders metal and plastic,30233,21506,71.1
2000,Grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,30115,23291,77.3
2000,Lathe and turning machine tool setters operators and tenders metal and plastic,31259,23587,75.5
2000,Milling and planing machine setters operators and tenders metal and plastic,31839,23971,0
2000,Machinists,35463,25295,71.3
2000,Metal furnace and kiln operators and tenders,34982,25558,73.1
2000,Model makers and patternmakers metal and plastic,43450,31604,72.7
2000,Molders and molding machine setters operators and tenders metal and plastic,31002,21336,68.8
2000,Multiple machine tool setters operators and tenders metal and plastic,34068,25360,74.4
2000,Tool and die makers,44473,30438,68.4
2000,Welding soldering and brazing workers,30591,22042,72.1
2000,Heat treating equipment setters operators and tenders metal and plastic,36509,27534,75.4
2000,Lay-out workers metal and plastic,33072,29356,88.8
2000,Plating and coating machine setters operators and tenders metal and plastic,30064,24477,81.4
2000,Tool grinders filers and sharpeners,35860,28015,0
2000,Metalworkers and plastic workers all other,30233,22148,73.3
2000,Bookbinders and bindery workers,30571,21198,69.3
2000,Job printers,31053,21701,69.9
2000,Prepress technicians and workers,34931,22878,65.5
2000,Printing machine operators,32409,22213,68.5
2000,Laundry and dry-cleaning workers,22261,15589,70
2000,Pressers textile garment and related materials,22167,15490,69.9
2000,Sewing machine operators,21367,16204,75.8
2000,Shoe and leather workers and repairers,21529,16904,78.5
2000,Shoe machine operators and tenders,20683,17370,84
2000,Tailors dressmakers and sewers,26402,17368,65.8
2000,Textile bleaching and dyeing machine operators and tenders,24117,21336,88.5
2000,Textile cutting machine setters operators and tenders,21639,18568,85.8
2000,Textile knitting and weaving machine setters operators and tenders,25344,21597,85.2
2000,Textile winding twisting and drawing out machine setters operators and tenders,23326,20463,87.7
2000,Extruding and forming machine setters operators and tenders synthetic and glass fibers,32649,30296,0
2000,Fabric and apparel patternmakers,39628,40527,102.3
2000,Upholsterers,25401,20884,82.2
2000,Textile apparel and furnishings workers all other,24327,18797,77.3
2000,Cabinetmakers and bench carpenters,26785,20405,76.2
2000,Furniture finishers,25284,18445,73
2000,Model makers and patternmakers wood,41563,21302,0
2000,Sawing machine setters operators and tenders wood,22769,19429,85.3
2000,Woodworking machine setters operators and tenders except sawing,23754,19764,83.2
2000,Woodworkers all other,24513,18366,74.9
2000,Power plant operators distributors and dispatchers,55061,44407,80.6
2000,Stationary engineers and boiler operators,41857,35050,83.7
2000,Water and liquid waste treatment plant and system operators,34741,31875,91.7
2000,Miscellaneous plant and system operators,45949,36047,78.5
2000,Chemical processing machine setters operators and tenders,42143,32025,76
2000,Crushing grinding polishing mixing and blending workers,30481,23548,77.3
2000,Cutting workers,26313,19716,74.9
2000,Extruding forming pressing and compacting machine setters operators and tenders,29663,21956,74
